lahaina612:/ # dmesg | grep -iE "uvc|f_uvc"
[ 1163.073950] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.083884] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.093820] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.103755] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.113685] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.123620] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.133556] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.143493] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.153427] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.163361] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.173297] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.185368] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.195317] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=31
[ 1163.205263] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.215220] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.225170] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.235105] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.245037] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.254973] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.264910] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.274842] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.284776] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.294712] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.304647] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.314584] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.324520] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.334462] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.344424] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.354362] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.364302] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.374236] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.384176] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.394115] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.404050] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.413991] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.423927] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
[ 1163.433863] configfs-gadget.g1 gadget.0: uvc: VS request missed xfer (EXDEV), req_len=0 queued=32
