[ 3021.012392] configfs-gadget.g1 gadget.0: uvc: [DEBUG] prep_requests: imagesize=460800 req_size=21504 nreqs=245 reqs_per_frame=213
[ 3033.179012] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32775 us (30.5 fps) queued=31
[ 3033.246096] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=67083 us (14.9 fps) queued=32
[ 3033.280890] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34794 us (28.7 fps) queued=31
[ 3033.313888] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32999 us (30.3 fps) queued=31
[ 3033.348251] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34361 us (29.1 fps) queued=29
[ 3033.383379] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35128 us (28.4 fps) queued=32
[ 3033.418262] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34883 us (28.6 fps) queued=32
[ 3033.448754] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30492 us (32.7 fps) queued=37
[ 3033.477916] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29163 us (34.2 fps) queued=32
[ 3033.510769] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32850 us (30.4 fps) queued=31
[ 3033.545624] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34855 us (28.6 fps) queued=32
[ 3033.578276] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32652 us (30.6 fps) queued=32
[ 3033.612161] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33883 us (29.5 fps) queued=32
[ 3033.646555] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34396 us (29.0 fps) queued=32
[ 3033.679294] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32738 us (30.5 fps) queued=29
[ 3033.713890] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34596 us (28.9 fps) queued=31
[ 3033.748989] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35100 us (28.4 fps) queued=30
[ 3033.781790] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32798 us (30.4 fps) queued=31
[ 3033.814866] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33076 us (30.2 fps) queued=31
[ 3033.847635] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32768 us (30.5 fps) queued=31
[ 3033.882219] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34583 us (28.9 fps) queued=32
[ 3033.913006] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30788 us (32.4 fps) queued=32
[ 3033.945691] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32684 us (30.5 fps) queued=32
[ 3033.980575] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34880 us (28.6 fps) queued=32
[ 3034.011293] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30722 us (32.5 fps) queued=30
[ 3034.042151] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30856 us (32.4 fps) queued=32
[ 3034.076560] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34409 us (29.0 fps) queued=30
[ 3034.109373] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32814 us (30.4 fps) queued=32
[ 3034.140184] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30805 us (32.4 fps) queued=32
[ 3034.174823] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34642 us (28.8 fps) queued=32
[ 3034.243403] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=68579 us (14.5 fps) queued=32
[ 3034.278109] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34706 us (28.8 fps) queued=30
[ 3034.311491] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33382 us (29.9 fps) queued=31
[ 3034.344488] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32997 us (30.3 fps) queued=32
[ 3034.381260] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36770 us (27.1 fps) queued=31
[ 3034.418045] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36784 us (27.1 fps) queued=31
[ 3034.452678] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34634 us (28.8 fps) queued=31
[ 3034.482557] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29878 us (33.4 fps) queued=31
[ 3034.517173] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34616 us (28.8 fps) queued=32
[ 3034.547989] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30815 us (32.4 fps) queued=31
[ 3034.582597] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34608 us (28.8 fps) queued=31
[ 3034.617331] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34733 us (28.7 fps) queued=32
[ 3034.653053] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35722 us (27.9 fps) queued=30
[ 3034.687850] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34796 us (28.7 fps) queued=31
[ 3034.718670] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30819 us (32.4 fps) queued=32
[ 3034.749264] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30596 us (32.6 fps) queued=31
[ 3034.783899] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34633 us (28.8 fps) queued=32
[ 3034.818481] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34581 us (28.9 fps) queued=33
[ 3034.847056] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28574 us (34.9 fps) queued=32
[ 3034.881975] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34918 us (28.6 fps) queued=32
[ 3034.912105] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30131 us (33.1 fps) queued=32
[ 3034.945566] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33459 us (29.8 fps) queued=29
[ 3034.978230] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32664 us (30.6 fps) queued=31
[ 3035.012753] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34522 us (28.9 fps) queued=31
[ 3035.045521] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32767 us (30.5 fps) queued=31
[ 3035.082266] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36746 us (27.2 fps) queued=32
[ 3035.115212] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32944 us (30.3 fps) queued=31
[ 3035.145948] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30737 us (32.5 fps) queued=32
[ 3035.178829] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32879 us (30.4 fps) queued=32
[ 3035.251507] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=72679 us (13.7 fps) queued=33
[ 3035.280616] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29108 us (34.3 fps) queued=31
[ 3035.315635] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35019 us (28.5 fps) queued=32
[ 3035.348934] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33298 us (30.0 fps) queued=30
[ 3035.384624] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35690 us (28.0 fps) queued=30
[ 3035.415523] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30898 us (32.3 fps) queued=32
[ 3035.451504] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35981 us (27.7 fps) queued=32
[ 3035.480350] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28846 us (34.6 fps) queued=31
[ 3035.514964] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34613 us (28.8 fps) queued=32
[ 3035.546007] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31043 us (32.2 fps) queued=32
[ 3035.578640] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32632 us (30.6 fps) queued=32
[ 3035.611591] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32951 us (30.3 fps) queued=32
[ 3035.648448] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36857 us (27.1 fps) queued=32
[ 3035.681378] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32929 us (30.3 fps) queued=31
[ 3035.715587] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34208 us (29.2 fps) queued=32
[ 3035.745551] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29965 us (33.3 fps) queued=31
[ 3035.780603] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35049 us (28.5 fps) queued=30
[ 3035.815400] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34796 us (28.7 fps) queued=31
[ 3035.846386] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30987 us (32.2 fps) queued=31
[ 3035.878984] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32597 us (30.6 fps) queued=32
[ 3035.912116] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33130 us (30.1 fps) queued=32
[ 3035.944411] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32295 us (30.9 fps) queued=32
[ 3035.977467] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33055 us (30.2 fps) queued=32
[ 3036.010837] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33371 us (29.9 fps) queued=31
[ 3036.041987] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31149 us (32.1 fps) queued=32
[ 3036.073951] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31963 us (31.2 fps) queued=31
[ 3036.106693] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32742 us (30.5 fps) queued=32
[ 3036.139512] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32819 us (30.4 fps) queued=28
[ 3036.172312] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32801 us (30.4 fps) queued=32
[ 3036.241588] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=69274 us (14.4 fps) queued=31
[ 3036.274282] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32693 us (30.5 fps) queued=31
[ 3036.307269] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32988 us (30.3 fps) queued=31
[ 3036.340036] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32766 us (30.5 fps) queued=32
[ 3036.374863] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34827 us (28.7 fps) queued=31
[ 3036.407364] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32501 us (30.7 fps) queued=31
[ 3036.442067] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34701 us (28.8 fps) queued=31
[ 3036.476688] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34622 us (28.8 fps) queued=32
