[ 3021.012392] configfs-gadget.g1 gadget.0: uvc: [DEBUG] prep_requests: imagesize=460800 req_size=21504 nreqs=245 reqs_per_frame=213
[ 3025.516018] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30831 us (32.4 fps) queued=32
[ 3025.548465] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32446 us (30.8 fps) queued=32
[ 3025.583414] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34949 us (28.6 fps) queued=32
[ 3025.620028] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36612 us (27.3 fps) queued=31
[ 3025.654610] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34581 us (28.9 fps) queued=31
[ 3025.685635] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31026 us (32.2 fps) queued=33
[ 3025.715424] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29790 us (33.5 fps) queued=31
[ 3025.734695] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=19268 us (51.8 fps) queued=31
[ 3025.787622] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=52927 us (18.8 fps) queued=32
[ 3025.822181] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34558 us (28.9 fps) queued=29
[ 3025.852151] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29970 us (33.3 fps) queued=32
[ 3025.886724] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34571 us (28.9 fps) queued=32
[ 3025.917488] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30764 us (32.5 fps) queued=32
[ 3025.950240] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32752 us (30.5 fps) queued=32
[ 3025.987474] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=37235 us (26.8 fps) queued=49
[ 3026.016370] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28894 us (34.6 fps) queued=32
[ 3026.051257] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34887 us (28.6 fps) queued=31
[ 3026.115964] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=64706 us (15.4 fps) queued=32
[ 3026.149149] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33185 us (30.1 fps) queued=31
[ 3026.182100] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32951 us (30.3 fps) queued=32
[ 3026.216523] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34421 us (29.0 fps) queued=31
[ 3026.247172] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30649 us (32.6 fps) queued=32
[ 3026.282163] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34992 us (28.5 fps) queued=32
[ 3026.316451] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34286 us (29.1 fps) queued=31
[ 3026.351118] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34667 us (28.8 fps) queued=31
[ 3026.382033] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30915 us (32.3 fps) queued=32
[ 3026.416667] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34633 us (28.8 fps) queued=31
[ 3026.451239] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34572 us (28.9 fps) queued=32
[ 3026.487157] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35916 us (27.8 fps) queued=31
[ 3026.521954] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34797 us (28.7 fps) queued=29
[ 3026.554268] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32313 us (30.9 fps) queued=31
[ 3026.588433] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34164 us (29.2 fps) queued=27
[ 3026.619405] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30973 us (32.2 fps) queued=32
[ 3026.650756] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31349 us (31.8 fps) queued=32
[ 3026.685289] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34534 us (28.9 fps) queued=50
[ 3026.714750] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29462 us (33.9 fps) queued=31
[ 3026.733628] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=18877 us (52.9 fps) queued=30
[ 3026.784005] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=50375 us (19.8 fps) queued=31
[ 3026.816903] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32897 us (30.3 fps) queued=31
[ 3026.850940] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34036 us (29.3 fps) queued=31
[ 3026.887010] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36070 us (27.7 fps) queued=32
[ 3026.921633] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34623 us (28.8 fps) queued=26
[ 3026.952289] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30655 us (32.6 fps) queued=32
[ 3026.981912] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29622 us (33.7 fps) queued=31
[ 3027.016272] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34360 us (29.1 fps) queued=42
[ 3027.045539] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29266 us (34.1 fps) queued=31
[ 3027.115516] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=69977 us (14.2 fps) queued=32
[ 3027.150143] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34625 us (28.8 fps) queued=31
[ 3027.184584] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34442 us (29.0 fps) queued=31
[ 3027.219233] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34647 us (28.8 fps) queued=31
[ 3027.253854] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34621 us (28.8 fps) queued=32
[ 3027.285991] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32135 us (31.1 fps) queued=31
[ 3027.320249] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34260 us (29.1 fps) queued=31
[ 3027.343609] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=23357 us (42.8 fps) queued=32
[ 3027.390483] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=46875 us (21.3 fps) queued=37
[ 3027.420318] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29835 us (33.5 fps) queued=28
[ 3027.450667] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30347 us (32.9 fps) queued=32
[ 3027.485120] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34453 us (29.0 fps) queued=32
[ 3027.522223] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=37101 us (26.9 fps) queued=31
[ 3027.552894] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30671 us (32.6 fps) queued=31
[ 3027.587566] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34671 us (28.8 fps) queued=31
[ 3027.622169] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34603 us (28.8 fps) queued=31
[ 3027.652980] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30811 us (32.4 fps) queued=32
[ 3027.681735] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28754 us (34.7 fps) queued=31
[ 3027.716039] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34305 us (29.1 fps) queued=31
[ 3027.737855] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=21813 us (45.8 fps) queued=32
[ 3027.785566] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=47710 us (20.9 fps) queued=31
[ 3027.816520] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30955 us (32.3 fps) queued=32
[ 3027.849756] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33235 us (30.0 fps) queued=31
[ 3027.880755] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30998 us (32.2 fps) queued=30
[ 3027.923661] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=42906 us (23.3 fps) queued=31
[ 3027.964369] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=40708 us (24.5 fps) queued=32
[ 3028.005134] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=40764 us (24.5 fps) queued=31
[ 3028.037947] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32811 us (30.4 fps) queued=31
[ 3028.068649] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30703 us (32.5 fps) queued=32
[ 3028.133342] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=64688 us (15.4 fps) queued=32
[ 3028.164323] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30985 us (32.2 fps) queued=31
[ 3028.205053] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=40729 us (24.5 fps) queued=32
[ 3028.236695] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31642 us (31.6 fps) queued=30
[ 3028.269520] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32823 us (30.4 fps) queued=32
[ 3028.300570] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31050 us (32.2 fps) queued=32
[ 3028.333229] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32660 us (30.6 fps) queued=32
[ 3028.365382] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32152 us (31.1 fps) queued=32
[ 3030.315933] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=1950551 us (0.5 fps) queued=62
[ 3030.342531] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26597 us (37.5 fps) queued=90
[ 3030.369692] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=27160 us (36.8 fps) queued=213
[ 3030.395559] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=25868 us (38.6 fps) queued=68
[ 3030.422394] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26834 us (37.2 fps) queued=42
[ 3030.449244] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26849 us (37.2 fps) queued=32
[ 3030.479467] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30223 us (33.0 fps) queued=59
[ 3030.506458] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26989 us (37.0 fps) queued=31
[ 3030.536953] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30496 us (32.7 fps) queued=32
[ 3030.567257] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30302 us (33.0 fps) queued=31
[ 3030.597856] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30600 us (32.6 fps) queued=36
[ 3030.627964] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30106 us (33.2 fps) queued=32
[ 3030.660258] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32294 us (30.9 fps) queued=41
[ 3030.686462] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26204 us (38.1 fps) queued=36
[ 3030.717097] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30635 us (32.6 fps) queued=36
[ 3030.747373] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30277 us (33.0 fps) queued=32
